# GPS: 4.73201, 103.37981 deg., Elev: 148.04 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
174,23.747,33.902,1.537,0.000
175,23.694,34.202,1.759,0.000
176,23.701,34.282,1.748,0.000
177,23.699,33.824,1.794,0.000
178,23.657,33.683,1.864,0.000
179,23.680,33.935,1.710,0.000
180,23.701,32.973,1.659,0.000
181,23.556,34.343,1.652,0.000
182,23.680,34.361,1.696,10.016
183,23.694,33.481,1.798,0.000
184,23.674,33.154,1.710,0.000
185,23.682,33.965,1.812,0.000
186,23.623,34.149,1.693,0.000
187,23.683,33.400,1.393,0.000
188,23.668,34.343,1.435,0.000
189,23.672,33.822,1.594,9.416
190,23.666,33.115,1.748,14.386
191,23.628,32.809,1.368,11.206
192,23.653,33.385,1.407,0.000
193,23.628,32.720,1.543,0.000
194,23.636,32.972,1.404,0.000
195,23.663,33.701,1.390,10.476
196,23.649,33.194,1.616,0.000
197,23.653,33.881,1.835,0.000
198,23.663,34.147,1.720,0.000
199,23.729,33.288,1.503,0.000
200,23.693,32.623,1.534,0.000
201,23.652,33.510,1.941,0.000
202,23.638,32.859,1.699,0.000
203,23.674,33.345,1.682,25.206
204,23.563,33.618,2.172,15.166
205,23.641,33.643,1.887,0.000
206,23.620,32.867,2.185,0.000
207,23.592,33.782,2.177,0.000
208,23.628,33.054,1.857,16.356
209,23.584,33.590,1.724,16.976
210,23.614,33.166,1.562,17.716
211,23.559,33.873,1.562,0.000
212,23.691,32.753,1.581,0.000
213,23.642,33.095,1.713,0.000
214,23.634,33.913,1.636,0.000
215,23.671,34.213,1.636,0.000
216,23.603,33.693,1.791,0.000
217,23.543,33.966,1.791,0.000
218,23.642,33.528,1.906,0.000
219,23.562,34.105,2.000,0.000
220,23.661,33.971,2.037,0.000
221,23.685,33.312,1.791,0.000
222,23.598,34.185,1.921,0.000
223,23.625,34.086,1.984,0.000
224,23.641,34.228,1.988,0.000
225,23.664,33.825,1.953,0.000
226,23.669,33.421,1.759,0.000
227,23.658,33.549,1.842,0.000
228,23.671,33.905,1.626,0.000
229,23.664,34.054,1.769,0.000
230,23.627,33.754,1.910,0.000
231,23.606,33.951,1.984,29.696
232,23.603,34.411,1.738,17.226
233,23.661,33.711,1.652,14.716
