# GPS: 4.16791, 102.26261 deg., Elev: 266.83 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
174,22.14,29.03,0.28,0.04
175,22.31,29.37,0.25,3.05
176,22.31,29.91,0.22,1.84
177,22.6,28.26,0.18,1.1
178,21.9,28.88,0.23,0.29
179,22.27,28.98,0.23,3.34
180,22.65,27.8,0.15,0.55
181,21.1,29.72,0.26,0.04
182,21.99,29.33,0.35,1.69
183,22.13,28.79,0.31,0.57
184,22.35,27.79,0.33,9.17
185,22.03,28.34,0.39,0.94
186,20.98,28.75,0.38,0.16
187,20.49,27.82,0.29,0.04
188,21.35,29.98,0.26,1.06
189,22.11,28.97,0.32,1.92
190,21.48,27.88,0.31,5.31
191,21.78,28.37,0.21,3.22
192,21.84,29.56,0.25,2.2
193,22.34,27.74,0.18,7.81
194,22.37,26.76,0.2,4.3
195,21.48,29.23,0.25,3.93
196,22.02,28.0,0.29,3.05
197,21.9,28.91,0.28,4.3
198,21.96,28.98,0.32,2.02
199,22.28,27.39,0.29,2.5
200,22.19,28.09,0.29,1.49
201,21.8,28.03,0.34,3.31
202,21.77,28.71,0.27,1.06
203,22.19,28.28,0.28,12.53
204,21.88,28.01,0.29,4.31
205,22.09,28.05,0.33,6.33
206,21.45,27.84,0.29,0.61
207,21.7,28.84,0.29,1.29
208,21.33,27.49,0.29,6.43
209,21.48,29.13,0.3,9.18
210,21.84,27.92,0.33,7.63
211,21.48,29.19,0.27,0.48
212,22.39,28.62,0.28,0.02
213,21.91,28.17,0.35,0.0
214,21.44,29.59,0.31,0.01
215,21.59,30.51,0.24,0.0
216,21.7,29.37,0.33,0.0
217,21.31,30.15,0.36,1.51
218,21.78,28.78,0.38,0.13
219,21.39,30.08,0.37,0.0
220,21.61,29.42,0.37,0.18
221,21.92,29.13,0.37,0.0
222,21.33,29.46,0.41,0.2
223,21.06,30.43,0.32,1.95
224,21.42,29.75,0.35,0.75
225,21.22,29.65,0.26,0.27
226,22.39,29.13,0.27,0.05
227,22.45,29.67,0.34,0.77
228,21.63,30.67,0.33,0.32
229,21.84,31.01,0.3,1.73
230,21.86,29.29,0.31,2.45
231,21.39,29.9,0.34,20.74
232,21.94,30.29,0.28,8.19
233,21.68,29.65,0.26,3.7
234,22.48,26.55,0.22,1.6
235,22.32,28.79,0.26,1.15
236,22.35,27.97,0.28,10.81
237,21.54,29.34,0.31,0.97
238,20.95,29.44,0.29,1.98
239,22.01,28.39,0.24,0.39
