# GPS: 3.73841, 101.59791 deg., Elev: 335.18 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
174,22.32,28.94,0.61,0.05
175,22.34,29.02,0.93,0.99
176,22.35,29.3,1.09,0.81
177,22.18,28.03,0.97,0.32
178,21.35,28.38,1.06,0.15
179,21.99,28.7,0.85,3.96
180,22.08,28.08,0.49,0.5
181,21.3,29.46,0.76,0.08
182,21.63,29.09,0.94,0.57
183,21.84,28.16,1.09,0.24
184,21.9,27.16,1.08,14.23
185,22.03,27.65,1.26,2.41
186,21.04,27.81,1.08,0.12
187,19.95,28.28,0.83,0.03
188,21.41,29.49,0.75,0.34
189,21.88,28.45,0.88,0.44
190,21.52,27.94,0.93,2.05
191,21.71,28.05,0.53,1.53
192,21.8,28.99,0.7,4.73
193,22.02,28.26,0.62,10.67
194,22.22,27.28,0.95,7.98
195,21.31,28.69,0.94,1.05
196,21.71,27.65,0.96,2.62
197,21.71,28.01,1.29,4.66
198,22.04,28.03,1.44,2.69
199,22.2,27.32,1.22,4.66
200,21.87,28.3,0.89,2.87
201,21.91,27.59,1.25,4.38
202,21.65,28.57,1.06,3.04
203,22.12,28.11,1.0,3.48
204,21.57,28.4,1.25,0.88
205,22.11,27.73,1.28,6.89
206,21.63,27.55,1.37,1.11
207,21.33,28.12,1.41,1.06
208,21.12,27.93,1.17,2.12
209,21.36,28.61,1.19,2.59
210,21.21,27.53,1.0,6.82
211,21.57,28.88,1.03,0.93
212,22.08,28.58,1.09,0.03
213,21.76,27.95,1.28,0.01
214,21.19,29.1,1.18,0.01
215,20.76,30.03,0.89,0.0
216,21.65,29.09,0.95,0.0
217,21.22,29.68,0.98,0.36
218,21.54,28.39,1.27,0.02
219,21.36,29.39,1.44,0.0
220,21.51,28.54,1.31,0.35
221,22.11,28.5,1.32,0.01
222,21.15,28.76,1.48,0.09
223,21.06,29.06,1.24,0.51
224,21.56,29.18,1.31,0.13
225,20.73,28.96,1.11,0.3
226,21.97,28.7,0.97,0.05
227,22.39,28.85,0.97,1.43
228,21.29,29.98,1.04,0.45
229,21.56,30.44,0.99,1.24
230,21.89,28.24,0.86,1.25
231,21.64,28.51,1.42,14.63
232,21.76,29.3,1.08,6.02
233,21.25,28.99,0.92,0.85
234,22.18,26.96,0.86,0.64
235,22.21,28.98,1.02,1.59
236,22.47,27.67,0.71,12.3
237,21.66,28.29,1.14,2.09
238,20.56,28.7,1.13,0.9
239,21.46,28.2,0.74,0.2
240,21.46,29.39,0.74,0.48
241,21.67,28.76,0.92,14.09
242,21.83,29.55,0.94,9.39
243,22.37,29.52,1.02,0.08
244,22.34,29.18,0.96,3.06
245,21.99,29.7,0.77,5.33
246,22.67,28.41,0.98,13.86
247,21.28,29.11,0.99,5.75
248,21.82,29.37,0.9,0.45
249,22.2,27.66,0.87,28.3
250,22.38,27.63,0.45,21.66
251,22.1,28.63,0.52,4.94
252,21.33,29.63,0.98,4.16
253,22.79,28.94,0.65,29.69
254,22.66,29.63,0.57,3.53
255,22.39,28.71,0.47,13.05
256,22.46,28.08,1.22,23.67
257,22.06,27.58,1.09,7.36
258,21.49,28.03,1.1,16.86
259,21.62,27.56,1.25,9.82
260,20.78,29.61,0.94,2.58
261,21.53,28.74,1.1,6.77
262,21.09,28.53,1.19,0.69
263,21.18,28.96,1.08,9.68
264,22.18,28.17,1.05,3.42
265,21.81,28.26,0.9,0.34
266,21.73,29.2,0.99,5.61
267,21.29,28.76,1.06,10.45
268,21.61,28.5,1.24,2.18
269,21.72,29.17,1.41,0.86
270,21.14,29.11,1.78,1.52
271,21.65,29.2,1.76,1.35
272,21.43,28.72,1.25,0.17
273,21.93,28.78,0.95,1.75
274,21.74,28.98,0.92,0.49
275,21.61,30.24,0.91,0.07
276,22.2,28.65,0.88,0.21
277,22.18,28.54,1.08,1.09
278,21.56,28.73,0.71,8.75
279,22.11,29.02,0.89,15.03
280,21.55,29.11,0.93,7.1
281,22.14,29.36,0.81,5.76
282,21.97,27.11,0.77,2.38
283,21.87,27.03,0.94,24.76
284,21.62,27.58,1.22,6.49
285,21.54,27.67,1.03,9.6
286,22.46,25.78,1.09,23.93
287,21.58,27.91,1.2,26.17
288,22.02,26.4,1.19,42.45
289,21.61,26.74,1.18,47.91
290,21.82,26.94,1.36,32.07
291,21.4,27.97,1.27,22.33
292,21.87,27.52,1.14,27.69
293,21.38,26.72,1.1,31.57
294,21.48,28.99,1.01,5.49
295,21.93,28.99,0.92,6.92
296,23.23,29.23,0.39,4.34
297,22.19,29.69,0.56,3.11
298,21.63,29.34,0.97,8.01
299,21.96,29.17,0.76,8.52
300,22.46,27.31,0.98,5.89
301,21.69,28.72,1.28,6.8
302,22.03,28.47,1.17,6.02
303,22.16,26.51,1.15,2.86
304,21.77,27.02,0.93,0.82
305,21.59,27.24,0.96,4.65
306,21.54,27.37,1.01,4.98
307,21.78,27.29,0.83,2.95
308,21.64,27.98,1.0,5.36
309,21.27,28.67,1.05,3.52
310,21.81,27.31,1.08,17.11
311,21.07,28.64,0.94,1.99
312,22.0,28.6,0.73,0.22
313,21.75,27.08,0.73,7.41
314,21.67,27.53,1.28,5.82
315,21.04,25.69,1.19,2.21
316,21.14,26.31,1.35,10.98
317,21.03,27.4,1.55,1.9
318,21.33,27.71,0.97,3.34
319,21.4,28.85,1.09,3.12
320,22.5,28.13,0.96,13.96
321,22.44,27.27,0.93,8.78
322,21.71,28.55,1.16,2.78
323,22.31,27.79,1.03,33.61
324,21.92,27.52,1.22,14.75
325,21.41,27.21,1.59,12.57
326,21.44,26.7,1.15,1.99
327,21.63,28.01,0.85,1.59
328,21.95,27.68,0.98,5.0
329,21.9,27.55,0.8,3.08
330,21.9,27.88,0.52,4.73
331,21.85,28.49,0.83,22.57
332,20.28,27.4,1.0,1.55
333,20.88,27.63,0.97,2.21
334,21.24,26.0,0.93,4.69
335,21.83,26.86,0.93,1.13
336,21.35,27.02,1.0,1.79
337,21.05,27.77,0.56,0.69
338,21.12,28.62,0.74,0.98
339,22.38,25.29,0.71,2.56
340,22.24,26.29,0.58,6.26
341,21.56,26.27,0.47,3.66
342,21.55,26.51,0.74,2.31
343,20.59,28.48,1.27,1.31
344,21.93,25.94,1.12,4.65
345,20.56,24.15,1.26,4.57
346,19.2,27.3,1.09,7.16
347,20.77,28.17,1.08,0.95
348,21.03,27.26,1.22,14.37
349,20.76,26.95,0.97,17.23
350,21.05,28.28,1.42,6.34
351,20.46,27.86,1.71,0.42
352,19.33,27.59,1.79,0.21
353,19.2,27.41,1.91,0.42
354,19.11,27.57,1.81,0.02
355,19.39,27.61,1.82,0.01
356,19.13,27.93,1.56,0.04
357,19.04,27.27,1.54,8.73
358,18.75,27.64,1.67,0.54
359,18.25,27.91,1.32,0.02
360,19.12,28.02,1.33,0.04
361,18.83,28.62,1.12,3.03
362,20.23,28.84,0.7,8.88
363,21.29,28.4,0.95,14.07
364,20.65,28.74,1.22,0.9
365,20.86,28.2,1.09,14.13
